slug,book_id,title,page_rows,audio_pages,empty_pages,body_chars,cover_chars,billable_chars,usd_neural_x2,usd_longform_x2,key_prefix,entity_pages,ctrl_pages,page_index_missing,flags
best-friends,675f14ab-3ae0-43ce-8fac-29b739e91f9f,Best Friends,14,12,2,1191,0,1191,0.0381,0.2382,book_dash-best-friends/danielle,,,,
brave-bora,0d8e6037-07b1-49ed-ab89-354d76828f59,Brave Bora,14,12,2,1159,0,1159,0.0371,0.2318,book_dash-brave-bora/danielle,,,,
circles,e94ddaa4-9c99-43ea-bc20-591579b05a9a,Circles,14,12,2,1889,0,1889,0.0604,0.3778,book_dash-circles/danielle,,,,
clever-pig,fae0aa5d-ff86-4eb2-9309-72768b0323d3,Clever Pig,14,12,2,333,0,333,0.0107,0.0666,book_dash-clever-pig/danielle,,,,
come-stay-with-me,8a48de8f-ad59-448a-b18f-f15e36ed5a54,Come stay with me,14,11,3,510,0,510,0.0163,0.1020,book_dash-come-stay-with-me/danielle,,,,
dance-khuzwayo-dance,0ccaf56f-82f8-493d-824e-3411c5f1d361,"Dance, Khuzwayo, dance!",14,11,3,993,0,993,0.0318,0.1986,book_dash-dance-khuzwayo-dance/danielle,,,,
dance-mihlali,cdd9d224-fe05-4f19-8b91-e1517bfb8e76,"Dance, Mihlali!",14,12,2,860,0,860,0.0275,0.1720,book_dash-dance-mihlali/danielle,,,,
dudus-hat,d89a1df3-ea6a-48c8-b269-00495aecd2d9,Dudu’s Hat,14,11,3,1779,0,1779,0.0569,0.3558,book_dash-dudus-hat/danielle,,,,
egg,c478f548-1cfd-4ab3-8477-24e4c0abc278,Egg,14,11,3,90,0,90,0.0029,0.0180,book_dash-egg/danielle,,,,VERY_SHORT_PAGES
feathered-friends,2ba62d91-9022-4378-a8a9-5bc4f62ab718,Feathered Friends,14,8,6,991,0,991,0.0317,0.1982,book_dash-feathered-friends/danielle,,,,
fifi-and-teddy,deee2409-10d2-4280-891c-2cbba9c7d204,Fifi and Teddy,14,9,5,421,0,421,0.0135,0.0842,book_dash-fifi-and-teddy/danielle,,,,
foxy-joxy-plays-a-trick,e6fc9794-5ba4-4aa0-b157-1c1ff1d7212a,Foxy Joxy Plays a Trick,14,12,2,869,0,869,0.0278,0.1738,book_dash-foxy-joxy-plays-a-trick/danielle,,,,
going-places,9f6ae9f9-8564-485d-95ba-bd967667d225,Going Places,14,11,3,747,0,747,0.0239,0.1494,book_dash-going-places/danielle,,,,
grandpa-farouks-garden,8cc7bf10-8e4f-4914-9747-a7ecc9b33d16,Grandpa Farouk’s Garden,14,12,2,1223,0,1223,0.0391,0.2446,book_dash-grandpa-farouks-garden/danielle,,,,
